Station ID,Name,Latitude,Longitude,Elevation,Network
BDR,Bridgeport/Sikorsky,41.1583,-73.1289,5.0,CT_ASOS
CDW,CALDWELL/ESSEX CO.,40.8764,-74.2831,53.0,NJ_ASOS
TEB,TETERBORO AIRPORT,40.859,-74.0562,3.0,NJ_ASOS
MMU,MORRISTOWN MUNI,40.7994,-74.4149,57.0,NJ_ASOS
EWR,Newark Intl,40.6827,-74.1693,2.0,NJ_ASOS
LDJ,Linden,40.6174,-74.2446,7.0,NJ_ASOS
HPN,WHITE PLAINS,41.0669,-73.7075,134.0,NY_ASOS
ISP,ISLIP/MACARTHUR,40.7939,-73.1017,30.0,NY_ASOS
LGA,New York/LaGuardia,40.7794,-73.8803,9.0,NY_ASOS
NYC,NEW YORK CITY,40.779,-73.9692,27.0,NY_ASOS
FRG,FARMINGDALE/REPUBLC,40.7288,-73.4134,25.0,NY_ASOS
JRB,Manhattan - Wall Street,40.7012,-74.009,0.0,NY_ASOS
JFK,NEW YORK/JF KENNEDY,40.6386,-73.7622,7.0,NY_ASOS
